source_id,original_title,canonical_filename,authority,document_type,source_tier,discovery_page_url,official_download_url,resolved_url,publication_date,effective_date,notification_number,gazette_reference,explicit_rule_references,file_size_bytes,sha256,download_timestamp,directory,status,duplicate_of,notes
SRC-PCR-AMD-2011-1,"The Legal Metrology (Packaged Commodities) (Amendment) Rules, 2011",2011-06-23__MOCA__RULES__LMPC_1st_Amendment_2011.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(i)_0_1732860957.pdf,https://consumeraffairs.gov.in/public/upload/files/8(i)_0_1732860957.pdf,2011-06-23,2011-07-01,G.S.R. 427(E),"Gazette of India, Extraordinary","Rules 6, 28",509666,c7323a274b07fb765580b212676a26db87460328a2b17a81042ea89064dd0383,2026-09-04T15:00:28.066374+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2011,DOWNLOADED,,Verified genuine official document. Page count: 1.
SRC-PCR-AMD-2011-2,"The Legal Metrology (Packaged Commodities) Second Amendment Rules, 2011",2011-09-09__MOCA__RULES__LMPC_2nd_Amendment_2011.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(ii)_0_1732860982.pdf,https://consumeraffairs.gov.in/public/upload/files/8(ii)_0_1732860982.pdf,2011-09-09,2011-09-09,G.S.R. 784(E),"Gazette of India, Extraordinary","Rules 6, 18",397975,6d18fe4066e71338f03d2bb9ed2a3faaf8f72de5be1cc41472039c93012bee16,2026-09-04T15:00:28.067971+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2011,DOWNLOADED,,Verified genuine official document. Page count: 1.
SRC-PCR-AMD-2011-3,"The Legal Metrology (Packaged Commodities) Third Amendment Rules, 2011",2011-10-24__MOCA__RULES__LMPC_3rd_Amendment_2011.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(iii)_0_1732861046.pdf,https://consumeraffairs.gov.in/public/upload/files/8(iii)_0_1732861046.pdf,2011-10-24,2011-10-24,G.S.R. 773(E),"Gazette of India, Extraordinary",Rule 6,2343190,f3c7fb83b908062b15fad732fa8ec111fdb2a4cf675a24f6a5e3049218666f2a,2026-09-04T15:00:28.117381+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2011,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-CORR-2011,"Corrigendum - The Legal Metrology (Packaged Commodities) Third Amendment Rules, 2011",2011-11-15__MOCA__CORRIGENDUM__LMPC_3rd_Amendment_Corrigendum_2011.pdf,Ministry of Consumer Affairs,CORRIGENDUM,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/corrigendum_PCR_0_0_1732860695.pdf,https://consumeraffairs.gov.in/public/upload/files/corrigendum_PCR_0_0_1732860695.pdf,2011-11-15,2011-11-15,Corrigendum G.S.R. 773(E),"Gazette of India, Extraordinary",Rule 6 Corrigendum,398205,30f7fd7a227b912ba808127aa611651501334753a099df03b4b34780ed1cc0f6,2026-09-04T15:00:28.119682+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2011,DOWNLOADED,,Verified genuine official document. Page count: 1.
SRC-PCR-AMD-2012-1,"The Legal Metrology (Packaged Commodities) Amendment Rules, 2012",2012-06-05__MOCA__RULES__LMPC_Amendment_2012.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(v)_0_1732861119.pdf,https://consumeraffairs.gov.in/public/upload/files/8(v)_0_1732861119.pdf,2012-06-05,2012-07-01,G.S.R. 426(E),"Gazette of India, Extraordinary","Rules 2, 6, Second Schedule",9128436,9af8f544d361f1c59986170656d8c68ef07c1e49b46d3bb6cbb35d705ba212dd,2026-09-04T15:00:28.132888+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2012,DOWNLOADED,,Verified genuine official document. Page count: 9.
SRC-PCR-AMD-2012-2,"The Legal Metrology (Packaged Commodities) (Second Amendment) Rules, 2012",2012-10-08__MOCA__RULES__LMPC_2nd_Amendment_2012.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(vi)_0_1732861153.pdf,https://consumeraffairs.gov.in/public/upload/files/8(vi)_0_1732861153.pdf,2012-10-08,2012-11-01,G.S.R. 758(E),"Gazette of India, Extraordinary","Rule 5, Second Schedule",1789338,b40b37bb99c46f4594c65e81416aa4e3f9c020283549a4bc3f7d73ce2cb020fb,2026-09-04T15:00:28.136946+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2012,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2013-1,"The Legal Metrology (Packaged Commodities) Amendment Rules, 2013",2013-05-27__MOCA__RULES__LMPC_Amendment_2013.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(vii)_0_1732861181.pdf,https://consumeraffairs.gov.in/public/upload/files/8(vii)_0_1732861181.pdf,2013-05-27,2013-06-01,G.S.R. 343(E),"Gazette of India, Extraordinary","Rule 6, Schedule II",648352,ab747b02a8f9984bd7103ac9978793ef948997a4b24ef010bae020f25cb73002,2026-09-04T15:00:28.139921+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2013,DOWNLOADED,,Verified genuine official document. Page count: 5.
SRC-PCR-AMD-2014-1,"The Legal Metrology (Packaged Commodities) (Amendment) Rules, 2014",2014-06-06__MOCA__RULES__LMPC_1st_Amendment_2014.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(viii)_0%20(1)_1732870622.pdf,https://consumeraffairs.gov.in/public/upload/files/8(viii)_0%20(1)_1732870622.pdf,2014-06-06,2014-07-01,G.S.R. 391(E),"Gazette of India, Extraordinary","Rule 6, Second Schedule",382469,ac5a84eddcc8a2c44a691cbfb4b704d8452ad6e3860f82dfbc5cddf9eb62cdc3,2026-09-04T15:00:28.141813+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2014,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2014-2,"The Legal Metrology (Packaged Commodities) (Second Amendment) Rules, 2014",2014-12-04__MOCA__RULES__LMPC_2nd_Amendment_2014.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(ix)_0_1732870718.pdf,https://consumeraffairs.gov.in/public/upload/files/8(ix)_0_1732870718.pdf,2014-12-04,2015-01-01,G.S.R. 870(E),"Gazette of India, Extraordinary",Rule 6,254797,15cc007fcff301672e34cbb809fac2c96a24861fe86347ade38b13b76cf65db2,2026-09-04T15:00:28.143526+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2014,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2015-1,"The Legal Metrology (Packaged Commodities) (Amendment) Rules, 2015",2015-05-14__MOCA__RULES__LMPC_1st_Amendment_2015.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(x)_0_1732870750.pdf,https://consumeraffairs.gov.in/public/upload/files/8(x)_0_1732870750.pdf,2015-05-14,2015-05-14,G.S.R. 385(E),"Gazette of India, Extraordinary","Rule 6(1), Second Schedule",757439,cd660e683148458112b782b284982ae181acadce3c6732d1c72a36f281c287fc,2026-09-04T15:00:28.147168+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2015,DOWNLOADED,,Verified genuine official document. Page count: 6.
SRC-PCR-AMD-2016-1,"The Legal Metrology (Packaged Commodities) (Amendment) Rules, 2016",2016-09-07__MOCA__RULES__LMPC_Amendment_2016.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(xi)_0_1732871315.pdf,https://consumeraffairs.gov.in/public/upload/files/8(xi)_0_1732871315.pdf,2016-09-07,2016-09-07,G.S.R. 865(E),"Gazette of India, Extraordinary","Rule 6, Rule 26",906960,f821dbe55907387c23a9bdedd20b64edec3c5c49a3f23ac41b86cb03b35c62ed,2026-09-04T15:00:28.198997+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2016,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2017-1,"The Legal Metrology (Packaged Commodities) (Amendment) Rules, 2017",2017-06-23__MOCA__RULES__LMPC_Amendment_2017.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(xii)_0_1732871346.pdf,https://consumeraffairs.gov.in/public/upload/files/8(xii)_0_1732871346.pdf,2017-06-23,2018-01-01,G.S.R. 629(E),"Gazette of India, Extraordinary, Part II, Section 3, Sub-section (i)","Rule 6(1), Rule 6(10) E-Commerce declarations, Schedule II",1359398,eabd56ec42d156f9ad3f9e246dbf154a15e03320b29f4755fc9215d6e1137d28,2026-09-04T15:00:28.507212+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2017,DOWNLOADED,,Verified genuine official document. Page count: 14.
SRC-PCR-CORR-2017-1,"Corrigendum - The Legal Metrology (Packaged Commodities) Amendment, Rules, 2017",2017-10-06__MOCA__CORRIGENDUM__LMPC_Amendment_Corrigendum_2017.pdf,Ministry of Consumer Affairs,CORRIGENDUM,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/8(xiii)_0_1732871373.pdf,https://consumeraffairs.gov.in/public/upload/files/8(xiii)_0_1732871373.pdf,2017-10-06,2018-01-01,Corrigendum G.S.R. 629(E),"Gazette of India, Extraordinary",G.S.R. 629(E) font size & schedule corrections,1546031,6ef9256a6296770c861cdeebf345339099227f990f67b8b02ae4dd50a9a5091b,2026-09-04T15:00:28.753685+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2017,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-REAL-AMD-2021,"Legal Metrology (Packaged Commodities) Amendment Rules, 2021",2021-11-02__MOCA__RULES__LMPC_Amendment_2021.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/230946_1732871433.pdf,https://consumeraffairs.gov.in/public/upload/files/230946_1732871433.pdf,2021-11-02,2022-04-01,G.S.R. 779(E),"Gazette of India, Extraordinary, Part II, Section 3, Sub-section (i)","Rule 6(1)(e) Unit Sale Price, Schedule II deletion",1421939,2c4438340d2455a4fc7462ebe0d1dee8071073af5d77de0212bb090905be17d9,2026-09-04T15:00:29.091044+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2021,DOWNLOADED,,Verified genuine official document. Page count: 4.
SRC-REAL-AMD-2022,"Legal Metrology (Packaged Commodities) Amendment Rules, 2022 dated 28.03.2022",2022-03-28__MOCA__RULES__LMPC_Amendment_2022.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/GSR226_1732871458.pdf,https://consumeraffairs.gov.in/public/upload/files/GSR226_1732871458.pdf,2022-03-28,2022-10-01,G.S.R. 226(E),"Gazette of India, Extraordinary",Rule 1(2) Extension of 2021 Amendment Rules,1163493,4d54d8e59d5e23c7133be0896f1fd7b01825e8df840e39156cf422dcec04f636,2026-09-04T15:00:29.377007+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2022,DOWNLOADED,,Verified genuine official document. Page count: 3.
SRC-PCR-AMD-2022-2,"The Legal Metrology (Packaged Commodities) (Second Amendment) Rules, 2022",2022-07-14__MOCA__RULES__LMPC_2nd_Amendment_QR_Code_2022.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/Notification%20-%20%20Legal%20Metrology%20(QR%20Code)_1732871487.pdf,https://consumeraffairs.gov.in/public/upload/files/Notification%20-%20%20Legal%20Metrology%20(QR%20Code)_1732871487.pdf,2022-07-14,2022-07-14,G.S.R. 570(E),"Gazette of India, Extraordinary",Rule 6(11) QR Code declarations on electronic products,999521,cb880c2c34bd57c32b7bb0d34da0c83abc53eb914a94e8208172359c5ea199ae,2026-09-04T15:00:29.670100+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2022,DOWNLOADED,,Verified genuine official document. Page count: 3.
SRC-PCR-AMD-2022-3,"The Legal Metrology (Packaged Commodities) (Third Amendment) Rules, 2022",2022-08-22__MOCA__RULES__LMPC_3rd_Amendment_Garments_2022.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/2022%203rd%20amendment%20in%20PCR%20Garments_1733228786.pdf,https://consumeraffairs.gov.in/public/upload/files/2022%203rd%20amendment%20in%20PCR%20Garments_1733228786.pdf,2022-08-22,2023-01-01,G.S.R. 648(E),"Gazette of India, Extraordinary","Rule 6, Rule 26 exemptions for garments",1054148,15fc08f3139087a0a1e493a2ace5f1c640e132317363ef58591622ea26ddb50a,2026-09-04T15:00:29.934590+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2022,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2022-4,"The Legal Metrology (Packaged Commodities) Amendment (Amendment) Rules, 2022",2022-09-30__MOCA__RULES__LMPC_Amendment_Amendment_2022.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/PCR_1732871549.pdf,https://consumeraffairs.gov.in/public/upload/files/PCR_1732871549.pdf,2022-09-30,2022-12-01,G.S.R. 748(E),"Gazette of India, Extraordinary",G.S.R. 779(E) timeline extension,834610,4b5a8d7b286bdb6e51d6e438c64b30713d0eb0394ce7d290841e4eb5526ba951,2026-09-04T15:00:30.174997+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2022,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2022-5,"The Legal Metrology (Packaged Commodities) (Amendment) Rules, 2022 dated 30.11.2022",2022-11-30__MOCA__RULES__LMPC_Amendment_2022.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/eGazette_30_nov_22_1732871630_1746006280.pdf,https://consumeraffairs.gov.in/public/upload/files/eGazette_30_nov_22_1732871630_1746006280.pdf,2022-11-30,2023-01-01,G.S.R. 858(E),"Gazette of India, Extraordinary",G.S.R. 779(E) commencement date,715874,9e38ad5ea572261d813795526c6983885d1dac54560c48346389e5afcff63c03,2026-09-04T15:00:30.417443+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2022,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2023-1,"The Legal Metrology (Packaged Commodities) Amendment (Amendment) Rules, 2023 dated 27.01.2023",2023-01-27__MOCA__RULES__LMPC_Amendment_Amendment_2023.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/2023.01.27%20amendment%20in%20amendment%20of%202023%20PCR_1732871665.pdf,https://consumeraffairs.gov.in/public/upload/files/2023.01.27%20amendment%20in%20amendment%20of%202023%20PCR_1732871665.pdf,2023-01-27,2023-01-27,G.S.R. 57(E),"Gazette of India, Extraordinary",Rules timeline adjustment,782794,a87c85772867760310ad169de804820ec058f3087dfdc681b79976e3103fd597,2026-09-04T15:00:30.659008+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2023,DOWNLOADED,,Verified genuine official document. Page count: 2.
SRC-PCR-AMD-2023-2,"The Legal Metrology (Packaged Commodities) Amendment (Amendment) Rules, 2023 dated 24.03.2023",2023-03-24__MOCA__RULES__LMPC_Amendment_Amendment_2023.pdf,Ministry of Consumer Affairs,RULES_AMENDMENT,TIER_1_PRIMARY_GOVERNMENT,https://consumeraffairs.gov.in/pages/legal-metrology-act,https://consumeraffairs.gov.in/public/upload/files/PCR_Amendment_24March2023_1732871698.pdf,https://consumeraffairs.gov.in/public/upload/files/PCR_Amendment_24March2023_1732871698.pdf,2023-03-24,2023-04-01,G.S.R. 219(E),"Gazette of India, Extraordinary",G.S.R. 779(E) timeline extension,1619405,14be3ad1ebf218d0c30e2ea4075b16f72c8aecadcb06914f1374b10ba77ed833,2026-09-04T15:00:30.899999+00:00,03_PACKAGED_COMMODITIES_AMENDMENTS/2023,DOWNLOADED,,Verified genuine official document. Page count: 2.
